Customer_id,Call_Opened,Call_Closed,Case_Number,Resolution,Call_Type,Call_Type_Sub_Category
1,6/20/2018,6/27/2018,22879885,Contact,Customer Success,Walkthrough
2,7/18/2018,7/18/2018,22969282,Contact,Customer Success,Walkthrough
3,6/12/2018,6/26/2018,22855707,Contact,Customer Success,Walkthrough
4,6/25/2018,6/25/2018,22895814,Contact,Customer Success,Walkthrough
5,6/20/2018,6/26/2018,22881774,Contact,Customer Success,Walkthrough
6,6/28/2018,6/28/2018,22910029,Contact,Customer Success,Walkthrough
7,6/14/2018,6/26/2018,22865638,Contact,Customer Success,Walkthrough
8,6/20/2018,7/5/2018,22882198,Reachback,Customer Success,Walkthrough
9,6/21/2018,6/28/2018,22884889,Contact,Customer Success,Walkthrough
10,6/21/2018,6/21/2018,22887802,Contact,Customer Success,Walkthrough
11,6/13/2018,6/22/2018,22860377,Contact,Customer Success,Walkthrough
12,6/13/2018,6/22/2018,22861045,Contact,Customer Success,Walkthrough
13,6/14/2018,6/27/2018,22862318,Contact,Customer Success,Walkthrough
14,6/12/2018,6/26/2018,22853669,Contact,Customer Success,Walkthrough
15,6/12/2018,6/21/2018,22854669,Contact,Customer Success,Walkthrough
16,6/21/2018,6/21/2018,22885597,Contact,Customer Success,Walkthrough
17,6/13/2018,6/25/2018,22858107,Contact,Customer Success,Walkthrough
18,6/15/2018,6/21/2018,22866872,Contact,Customer Success,Walkthrough
19,6/29/2018,7/11/2018,22915157,Contact,Customer Success,Walkthrough
20,6/21/2018,6/21/2018,22886749,Contact,Customer Success,Walkthrough
21,8/8/2018,8/22/2018,23046063,Contact,Customer Success,Walkthrough
22,6/21/2018,6/21/2018,22885441,Contact,Customer Success,Walkthrough
23,7/13/2018,7/19/2018,22957123,Contact,Customer Success,Walkthrough
24,7/5/2018,7/9/2018,22929664,Contact,Customer Success,Walkthrough
25,6/13/2018,6/21/2018,22860877,Contact,Customer Success,Walkthrough
